Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
H1,M2 16mm Spacer,MountingHole_2.2mm_M2_DIN965_Pad,168.68748,-54.23755,0.0,top
H2,M2 16mm Spacer,MountingHole_2.2mm_M2_DIN965_Pad,216.31252,-54.23755,0.0,top
H3,M2 16mm Spacer,MountingHole_2.2mm_M2_DIN965_Pad,168.68748,-139.367309,0.0,top
H4,M2 16mm Spacer,MountingHole_2.2mm_M2_DIN965_Pad,216.31252,-139.367309,0.0,top
H6,~,MountingHole_2.2mm_M2_elongated,178.192003,-97.003494,0.0,top
H7,~,MountingHole_2.2mm_M2_elongated,240.422933,-135.085732,0.0,top
